iter	MultiClass
139	0.3634258469
140	0.3629003546
141	0.3624280943
142	0.3620922004
143	0.3614297538
144	0.3606804097
145	0.3602107677
146	0.3591100252
147	0.3582526492
148	0.3577540057
149	0.3570186212
150	0.3564798558
151	0.3559208007
152	0.3553082505
153	0.3547699424
154	0.354070628
155	0.3535298597
156	0.3526006686
157	0.35207055
158	0.3513376957
159	0.3507771222
160	0.3498477601
161	0.3490675822
162	0.3482387822
163	0.3475825041
164	0.346526636
165	0.3459453439
166	0.3450590566
167	0.3445286501
168	0.3438440584
169	0.3434201686
170	0.3429898042
171	0.3426100623
172	0.3424362173
173	0.3419542718
174	0.3412980986
175	0.3405887834
176	0.3401557935
177	0.3399624896
178	0.339726473
179	0.3392122056
180	0.3387654197
181	0.3379070563
182	0.3376671582
183	0.3374062647
184	0.3367266648
185	0.3360409525
186	0.3351063176
187	0.3344772586
188	0.3341028671
189	0.3336903686
190	0.3328135281
191	0.3321675964
192	0.3312570427
193	0.3309189265
194	0.3301742157
195	0.3296434026
196	0.3291276397
197	0.3285312591
198	0.3280795536
199	0.3278788864
200	0.3273959522
201	0.3266943105
202	0.3260488693
203	0.3256197484
204	0.3249373459
205	0.3245022024
206	0.3239403013
207	0.3232408318
208	0.3228939417
209	0.3223542205
210	0.3218057954
211	0.3215123581
212	0.3210880243
213	0.3206776771
214	0.3203491723
215	0.3197321784
216	0.3192572799
217	0.3187698965
218	0.3180848474
219	0.317839097
220	0.3172771142
221	0.3168815514
222	0.3163819268
223	0.3160927341
224	0.3156027453
225	0.3152241465
226	0.314864207
227	0.3143601289
228	0.313382126
229	0.3130279209
230	0.3127482306
231	0.3120513417
232	0.3115651946
233	0.3109490906
234	0.3106077127
235	0.3099756509
236	0.3092762444
237	0.3089259283
238	0.3085393248
239	0.3078246942
240	0.3071563235
241	0.3065498678
242	0.3059910526
243	0.3053077313
244	0.3046506634
245	0.3040866668
246	0.3038942147
247	0.3035670515
248	0.3026428767
249	0.3020357294
250	0.301562731
251	0.3011972727
252	0.3007097737
253	0.3003865812
254	0.2998596294
255	0.2994635399
256	0.2990148167
257	0.2986730703
258	0.2982706599
259	0.2976470087
260	0.2973808253
261	0.2971306094
262	0.2968565401
263	0.2963419542
264	0.29602391
265	0.2955486142
266	0.2953617807
267	0.2949210167
268	0.2944992522
269	0.2937915452
270	0.2932295427
271	0.2928044639
272	0.2925888692
273	0.2920108118
274	0.2917547254
275	0.2914592047
276	0.2911391907
277	0.2907497091
278	0.2903607596
279	0.2901250573
280	0.2897700174
281	0.2893760746
282	0.2889124778
283	0.288542076
284	0.2878951017
285	0.2872017967
286	0.2867504241
287	0.286315768
288	0.2860948314
289	0.285641337
290	0.2852470037
291	0.2845305075
292	0.2841592304
293	0.2837722723
294	0.2833065857
295	0.2827276987
296	0.2820320711
297	0.2817483683
298	0.2814177412
299	0.2808716483
300	0.2804843707
301	0.2798338414
302	0.2796312847
303	0.2793511985
304	0.2787814725
305	0.2784471169
306	0.2779410608
307	0.2774203679
308	0.2769700925
309	0.2764691134
310	0.2762554626
311	0.275683771
312	0.2754173693
313	0.2749997158
314	0.2746685967
315	0.274307814
316	0.2738489264
317	0.2734098417
318	0.2730828625
319	0.2726377736
320	0.2724101928
321	0.2720972184
322	0.2717108796
323	0.2713510102
324	0.271025523
325	0.2707986933
326	0.2701687968
327	0.2696182219
328	0.268751276
329	0.2683355817
330	0.2675759263
331	0.2669916077
332	0.2664971976
333	0.2659907918
334	0.2652598674
335	0.2646529273
336	0.264015577
337	0.263494073
338	0.2627366294
339	0.262085312
340	0.2617749202
341	0.2613143003
342	0.2608426054
343	0.2603601554
344	0.2598763314
345	0.2594331944
346	0.2587101156
347	0.2584165007
348	0.2578730094
349	0.2576243608
350	0.2571341442
351	0.2565021448
352	0.256084628
353	0.2556790413
354	0.2553083718
355	0.2549135795
356	0.2545606473
357	0.2541058139
358	0.2536577155
359	0.2534169503
360	0.2530981082
361	0.2528353547
362	0.2526823966
363	0.2523961829
364	0.252279517
365	0.2520180353
366	0.2516298896
367	0.2514082081
368	0.2509008412
369	0.2505973867
370	0.2501146963
371	0.2497278485
372	0.249568754
373	0.249328237
374	0.2489784673
375	0.2486678742
376	0.2483122467
377	0.2476546614
378	0.2471835254
379	0.2466195831
380	0.2461312483
381	0.2457272443
382	0.2455430171
383	0.2451897092
384	0.2449990114
385	0.2448640429
386	0.2443916375
387	0.244206192
388	0.2439249478
389	0.2434815834
390	0.2432446638
391	0.2430484978
392	0.2427485713
393	0.2425016809
394	0.2420410643
395	0.2417550102
396	0.2412431709
397	0.2409926171
398	0.2406577471
399	0.2401813139
400	0.2395888572
401	0.2394648879
402	0.2392310858
403	0.2390076196
404	0.2387763317
405	0.2384747531
406	0.2380790748
407	0.2376725228
408	0.2372575737
409	0.2366999021
410	0.2364143998
411	0.2359618749
412	0.2354585184
413	0.235079044
414	0.2348036429
415	0.2344392484
416	0.2342466891
417	0.2338670685
418	0.2335632468
419	0.2333405666
420	0.2330217521
421	0.232709804
422	0.2325091906
423	0.2323241201
424	0.2320163168
425	0.2315492193
426	0.2311959191
427	0.2308772838
428	0.2306347149
429	0.2302426059
430	0.2297995665
431	0.2294325876
432	0.2291900124
433	0.2289315465
434	0.2286696065
435	0.2283328566
436	0.227579534
437	0.227243169
438	0.2268643668
439	0.2264303843
440	0.226164944
441	0.2259176346
442	0.2256151439
443	0.2253465226
444	0.2251365691
445	0.2247961027
446	0.2244649233
447	0.2242030072
448	0.2239585114
449	0.2236190586
450	0.223412905
451	0.223207862
452	0.2229923733
453	0.2228525013
454	0.2225408912
455	0.2223522244
456	0.2222078766
457	0.2219307468
458	0.2217726558
459	0.2215932176
460	0.2213302076
461	0.2210722274
462	0.2209108928
463	0.2207894331
464	0.2204661161
465	0.2201097215
466	0.2196134059
467	0.2191321265
468	0.2186438736
469	0.2184250149
470	0.2180149337
471	0.2177729122
472	0.2176563856
473	0.2172972656
474	0.2170215729
475	0.2167677628
476	0.2164497513
477	0.2161557775
478	0.2158589915
479	0.2155946043
480	0.2154127978
481	0.2152658772
482	0.2149129948
483	0.2145755495
484	0.2143620352
485	0.2140533342
486	0.2136351397
487	0.2133376999
488	0.2131067997
489	0.2129603095
490	0.2126986498
491	0.2124852074
492	0.212239972
493	0.2119534987
494	0.2117533426
495	0.2115207248
496	0.2113060778
497	0.2110833239
498	0.2108492909
499	0.2104156173
500	0.2101199973
501	0.2099849332
502	0.2098194656
503	0.2097095147
504	0.2094280896
505	0.2091971166
506	0.2089132029
507	0.2085988393
508	0.2083278906
509	0.2080375532
510	0.2078098335
511	0.2075732304
512	0.2072675923
513	0.2070428754
514	0.206780172
515	0.2066406208
516	0.2065079366
517	0.2062521007
518	0.2060862584
519	0.2058928502
520	0.2056025881
521	0.2052839218
522	0.2050890565
523	0.2049862424
524	0.2048239385
525	0.2045748315
526	0.2044150677
527	0.2042848019
528	0.2039758661
529	0.203606196
530	0.2033671789
531	0.2029983959
532	0.2027545686
533	0.2024450029
534	0.2022577834
535	0.2018825601
536	0.2015683853
537	0.2011775043
538	0.2007781992
539	0.2006364427
540	0.2002887977
541	0.2000266594
542	0.1997502795
543	0.1994089508
544	0.1993017794
545	0.1989706041
546	0.1986024705
547	0.198318976
548	0.1981031526
549	0.1979749878
550	0.1977927091
551	0.1975866435
552	0.197333871
553	0.1971710669
554	0.1968906318
555	0.1965840961
556	0.1964250522
557	0.1961475407
558	0.1957850917
559	0.1956362691
560	0.1954123271
561	0.1951867651
562	0.1948924943
563	0.1946832437
564	0.1944954614
565	0.1940028159
566	0.1938080645
567	0.1936578663
568	0.1934639174
569	0.193077301
570	0.1928503163
571	0.1926557796
572	0.1922763624
573	0.1920400069
574	0.1916698078
575	0.191535749
576	0.1912096394
577	0.190989642
578	0.1908476605
579	0.1907278479
580	0.1905069395
581	0.1903024334
582	0.1899397956
583	0.1897559352
584	0.1895907316
585	0.1894092043
586	0.1890320858
587	0.1887579221
588	0.1885757253
589	0.1883839677
590	0.1880449907
591	0.187838873
592	0.1875303065
593	0.187161089
594	0.186964518
595	0.1868762774
596	0.1865466638
597	0.1864244795
598	0.1863023996
599	0.1859465304
600	0.1857555493
601	0.1855069246
602	0.1853126138
603	0.1850738737
604	0.1848484922
605	0.1846861237
606	0.1843787808
607	0.1841587945
608	0.183839766
609	0.1835164968
610	0.1833049798
611	0.1831240913
612	0.1828847058
613	0.1827093666
614	0.1824630258
615	0.1823413875
616	0.1821730085
617	0.1819820285
618	0.1816923533
619	0.1815348439
620	0.1813156872
621	0.181189678
622	0.1810153251
623	0.1808224765
624	0.1806847222
625	0.1805543172
626	0.1803324576
627	0.180128395
628	0.1799560978
629	0.1796598739
630	0.1794273246
631	0.1792775364
632	0.1790918943
633	0.1788363233
634	0.1785325099
635	0.1784391564
636	0.1781799827
637	0.1779266466
638	0.1777222055
639	0.1774217612
640	0.1772770283
641	0.1771371202
642	0.1769920841
643	0.1767898867
644	0.1763588898
645	0.1762368663
646	0.1761175327
647	0.1759055732
648	0.1756161413
649	0.1754892316
650	0.17537813
651	0.1751952802
652	0.1750177126
653	0.1748481481
654	0.1746849237
655	0.1744677193
656	0.1741880778
657	0.1740028163
658	0.1738318755
659	0.1735955304
660	0.1734543103
661	0.1733494597
662	0.1732287264
663	0.1730509927
664	0.1729221092
665	0.1726874812
666	0.1725862259
667	0.1723898276
668	0.1722827042
669	0.1721249178
670	0.1720482298
671	0.1719255527
672	0.1716852282
673	0.1715156472
674	0.1713722278
675	0.1711365181
676	0.1710124335
677	0.1709019291
678	0.1708108274
679	0.1705676933
680	0.1703383029
681	0.1702222164
682	0.1699687317
683	0.1697538378
684	0.1696727233
685	0.1693259309
686	0.1691051947
687	0.1688706359
688	0.1687376321
689	0.1684997314
690	0.1684243074
691	0.1682320867
692	0.1680241666
693	0.1678870345
694	0.167672237
695	0.1674105056
696	0.1673005499
697	0.1672117252
698	0.1670591196
699	0.1669057579
700	0.1666932069
701	0.1665496875
702	0.1663924108
703	0.1663220765
704	0.1662183821
705	0.1660096741
706	0.1657892949
707	0.1656088298
708	0.1654757782
709	0.1653870162
710	0.1652206991
711	0.1651270056
712	0.1648246218
713	0.1646570578
714	0.164523457
715	0.1644001377
716	0.1642535368
717	0.1640831327
718	0.1638302728
719	0.1635604979
720	0.1633923564
721	0.1631379308
722	0.1629948909
723	0.1628914651
724	0.16275135
725	0.1626046736
726	0.1624342029
727	0.1622856865
728	0.1620159682
729	0.1618398098
730	0.1616652331
731	0.1614440592
732	0.1613333679
733	0.161229158
734	0.1609812596
735	0.1607946999
736	0.1605769571
737	0.1603220422
738	0.1601063119
739	0.1600139825
740	0.1599328427
741	0.1598355517
742	0.1597073846
743	0.1595254124
744	0.15937695
745	0.1590770818
746	0.1589972311
747	0.1587267621
748	0.1584732781
749	0.1582966348
750	0.1581015236
751	0.1579132816
752	0.1577295327
753	0.1576879335
754	0.1575830745
755	0.1573244411
756	0.1572409115
757	0.1570024564
758	0.1568803364
759	0.1566976924
760	0.1565119134
761	0.1563633707
762	0.1561219206
763	0.1559780248
764	0.1558043391
765	0.1555817319
766	0.1554644503
767	0.1552861391
768	0.155132
769	0.1550465514
770	0.1547600642
771	0.1546460871
772	0.154539678
773	0.1544382521
774	0.1542788642
775	0.1542257079
776	0.1541193831
777	0.1540077262
778	0.1539125564
779	0.1537864071
780	0.153685427
781	0.1534285488
782	0.1532023569
783	0.1531074736
784	0.1528639306
785	0.1526337979
786	0.1524294301
787	0.152285059
788	0.1521953431
789	0.1520351652
790	0.1518361577
791	0.1515742587
792	0.1513946625
793	0.1512246774
794	0.1510283364
795	0.1507733525
796	0.1506725838
797	0.1504499785
798	0.1502400941
799	0.1500239131
800	0.1499211438
801	0.1498328409
802	0.1496558877
803	0.1495518822
804	0.1494362332
805	0.1491964845
806	0.1490786259
807	0.1489412862
808	0.1487311772
809	0.1485959197
810	0.1484892224
811	0.1483956348
812	0.1482998728
813	0.148054096
814	0.1478491463
815	0.1477800881
816	0.1476209171
817	0.1475269208
818	0.147353969
819	0.1472145306
820	0.1470221241
821	0.1468744708
822	0.1467235698
823	0.1464953313
824	0.1463960572
825	0.146236069
826	0.1461419387
827	0.1459714185
828	0.1457377535
829	0.1455382872
830	0.1454142384
831	0.1452550126
832	0.1451484938
833	0.1450516256
834	0.1448405016
835	0.1447252374
836	0.1446197858
837	0.1445281814
838	0.1443448791
839	0.144186779
840	0.1440750018
841	0.1438638281
842	0.1436482125
843	0.1434852258
844	0.1433147243
845	0.1430955623
846	0.1429964059
847	0.1427614188
848	0.1426789906
849	0.1424831375
850	0.1423985083
851	0.1423024687
852	0.1421411831
853	0.1419085331
854	0.1416659609
855	0.1415410999
856	0.1414314384
857	0.1412692824
858	0.1411853204
859	0.1410389061
860	0.1408520627
861	0.1406533522
862	0.1405657461
863	0.1404735331
864	0.140315531
865	0.1402206524
866	0.1401459475
867	0.1400148591
868	0.1399049066
869	0.139767314
870	0.1396356946
871	0.1395200301
872	0.1394107155
873	0.1391762167
874	0.1390013054
875	0.1389058053
876	0.1388322438
877	0.1387434701
878	0.1385618037
879	0.1384442193
880	0.1382875359
881	0.1381145431
882	0.1380057327
883	0.1379237978
884	0.1377426161
885	0.1375779775
886	0.1374649718
887	0.1372496102
888	0.1370885749
889	0.1369245288
890	0.1366472463
891	0.1365427714
892	0.1364148869
893	0.1362800798
894	0.1361042746
895	0.1359419588
896	0.1358630018
897	0.1357036452
898	0.1356122714
899	0.1355178452
900	0.1354025448
901	0.1352462931
902	0.1351585753
903	0.1350310628
904	0.1349131765
905	0.1348083272
906	0.1346406934
907	0.1345680247
908	0.1344729505
909	0.1342606653
910	0.1341641652
911	0.1340266167
912	0.1339276126
913	0.1337830598
914	0.1336385351
915	0.1335777686
916	0.1334773136
917	0.1333158952
918	0.13319454
919	0.1329753835
920	0.1328378399
921	0.1326543362
922	0.1325034538
923	0.13231249
924	0.1322385074
925	0.1320442938
926	0.1318834963
927	0.1317133558
928	0.1316037443
929	0.131470997
930	0.1313872857
931	0.131242
932	0.1311542004
933	0.130998738
934	0.1309128364
935	0.1308327416
936	0.1306698541
937	0.130517945
938	0.1303714055
939	0.1302758432
940	0.1302112893
941	0.130117131
942	0.1300322061
943	0.1299696818
944	0.1297528963
945	0.1296517967
946	0.129560973
947	0.1294350178
948	0.1293313172
949	0.1292038558
950	0.129039485
951	0.1288769881
952	0.12880055
953	0.1287220763
954	0.1286295999
955	0.1285313877
956	0.1283567494
957	0.1282189216
958	0.1280693291
959	0.1280200412
960	0.1278447133
961	0.1277498756
962	0.1277215525
963	0.1276723524
964	0.1275621377
965	0.127485758
966	0.1274419126
967	0.1273186556
968	0.1272104429
969	0.1270820557
970	0.1269240124
971	0.12675886
972	0.1266835816
973	0.1265205086
974	0.1264355797
975	0.1263119556
976	0.1262055302
977	0.1260859934
978	0.1259988527
979	0.1258194422
980	0.1257546278
981	0.1256877137
982	0.1256349969
983	0.1254732643
984	0.1253697566
985	0.125269521
986	0.1251846442
987	0.1250686683
988	0.1249829545
989	0.1248575903
990	0.1247500377
991	0.1245787285
992	0.1245449852
993	0.1244750594
994	0.1243739955
995	0.1242306963
996	0.1241287437
997	0.1239988647
998	0.1239405712
999	0.1237983884
